STATION,NAME,DATE,TAVG
USR0000CBIP,"BIG PINES CALIFORNIA, CA US",2003,53.6
USR0000CBIP,"BIG PINES CALIFORNIA, CA US",2004,52.2
USR0000CBIP,"BIG PINES CALIFORNIA, CA US",2005,52.3
USC00048967,"TOPANGA PTRL STATION FC6, CA US",2005,
USC00046624,"PALMDALE, CA US",2003,64.1
USC00046624,"PALMDALE, CA US",2004,63.4
USC00046624,"PALMDALE, CA US",2005,62.8
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",2003,64.6
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",2004,64.7
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",2005,64.3
USC00042941,"FAIRMONT, CA US",2003,63.2
USC00042941,"FAIRMONT, CA US",2004,62.2
USC00042941,"FAIRMONT, CA US",2005,
USR0000CCP9,"CAMP 9 CALIFORNIA, CA US",2003,
USR0000CCP9,"CAMP 9 CALIFORNIA, CA US",2004,59.9
USR0000CCP9,"CAMP 9 CALIFORNIA, CA US",2005,58.9
USC00046263,"NORTHRIDGE CAL STATE, CA US",2003,66.5
USC00046263,"NORTHRIDGE CAL STATE, CA US",2004,
USC00046263,"NORTHRIDGE CAL STATE, CA US",2005,65.7
USC00043392,"GETTY CENTER, CA US",2003,
USC00043392,"GETTY CENTER, CA US",2004,
USC00043392,"GETTY CENTER, CA US",2005,63.7
USC00046663,"PALOS VERDES ES FC43D, CA US",2004,
USW00003167,"HAWTHORNE MUNICIPAL AIRPORT, CA US",2003,64
USW00003167,"HAWTHORNE MUNICIPAL AIRPORT, CA US",2004,64
USW00003167,"HAWTHORNE MUNICIPAL AIRPORT, CA US",2005,64.4
USW00023130,"VAN NUYS AIRPORT, CA US",2003,66.1
USW00023130,"VAN NUYS AIRPORT, CA US",2004,65.8
USW00023130,"VAN NUYS AIRPORT, CA US",2005,65.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2003,63.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2004,63.3
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2005,63
USR0000CSFD,"SANTA FE DAM CALIFORNIA, CA US",2003,67.5
USR0000CSFD,"SANTA FE DAM CALIFORNIA, CA US",2004,67.1
USR0000CSFD,"SANTA FE DAM CALIFORNIA, CA US",2005,67
USW00003122,"TORRANCE AIRPORT, CA US",2003,62.8
USW00003122,"TORRANCE AIRPORT, CA US",2004,62.6
USR0000CSAU,"SAUGUS CALIFORNIA, CA US",2004,64.8
USR0000CSAU,"SAUGUS CALIFORNIA, CA US",2005,64.7
USR0000CWAR,"WARM SPRINGS CALIFORNIA, CA US",2003,61.4
USR0000CWAR,"WARM SPRINGS CALIFORNIA, CA US",2004,60.7
USR0000CWAR,"WARM SPRINGS CALIFORNIA, CA US",2005,60
USC00042214,"CULVER CITY, CA US",2003,
USC00042214,"CULVER CITY, CA US",2004,
USC00042214,"CULVER CITY, CA US",2005,
USC00047749,"SAN DIMAS FIRE FC 95, CA US",2005,
USR0000CLTU,"LITTLE TUJUNGA CALIFORNIA, CA US",2003,64.2
USR0000CLTU,"LITTLE TUJUNGA CALIFORNIA, CA US",2005,63.2
USC00046773,"PEARBLOSSOM, CA US",2003,64.2
USC00046773,"PEARBLOSSOM, CA US",2004,63.2
USC00046773,"PEARBLOSSOM, CA US",2005,
USC00047785,"SAN GABRIEL FIRE DEPARTMENT, CA US",2003,
USC00047785,"SAN GABRIEL FIRE DEPARTMENT, CA US",2005,
