STATION,NAME,DATE,TAVG
USR0000CBIP,"BIG PINES CALIFORNIA, CA US",2013,52.8
USR0000CBIP,"BIG PINES CALIFORNIA, CA US",2014,54.5
USR0000CBIP,"BIG PINES CALIFORNIA, CA US",2015,52.9
USR0000CBIP,"BIG PINES CALIFORNIA, CA US",2016,53.9
USR0000CBIP,"BIG PINES CALIFORNIA, CA US",2017,54.4
USR0000CBIP,"BIG PINES CALIFORNIA, CA US",2018,54
USR0000CBIP,"BIG PINES CALIFORNIA, CA US",2019,50.8
USC00048967,"TOPANGA PTRL STATION FC6, CA US",2013,
USC00046624,"PALMDALE, CA US",2013,64.1
USC00046624,"PALMDALE, CA US",2014,66.1
USC00046624,"PALMDALE, CA US",2015,64.5
USC00046624,"PALMDALE, CA US",2016,64.9
USC00046624,"PALMDALE, CA US",2017,
USC00046624,"PALMDALE, CA US",2018,
USC00046624,"PALMDALE, CA US",2019,
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",2013,65.3
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",2014,67.7
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",2015,68.4
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",2016,66.6
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",2017,66.8
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",2018,67.1
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",2019,65.5
USC00042941,"FAIRMONT, CA US",2013,
USC00042941,"FAIRMONT, CA US",2014,65.8
USC00042941,"FAIRMONT, CA US",2015,
USC00042941,"FAIRMONT, CA US",2016,64.5
USC00042941,"FAIRMONT, CA US",2017,65.1
USC00042941,"FAIRMONT, CA US",2018,64.8
USC00042941,"FAIRMONT, CA US",2019,
USR0000CCP9,"CAMP 9 CALIFORNIA, CA US",2013,
USR0000CCP9,"CAMP 9 CALIFORNIA, CA US",2014,62.7
USR0000CCP9,"CAMP 9 CALIFORNIA, CA US",2015,61.9
USR0000CCP9,"CAMP 9 CALIFORNIA, CA US",2017,61.5
USR0000CCP9,"CAMP 9 CALIFORNIA, CA US",2018,60.8
USR0000CCP9,"CAMP 9 CALIFORNIA, CA US",2019,57.9
USC00046263,"NORTHRIDGE CAL STATE, CA US",2013,
USC00046263,"NORTHRIDGE CAL STATE, CA US",2014,68.6
US1CALA0081,"GLENDORA 1.4 ESE, CA US",2019,
USC00043392,"GETTY CENTER, CA US",2013,
USC00046663,"PALOS VERDES ES FC43D, CA US",2013,
USC00046663,"PALOS VERDES ES FC43D, CA US",2014,
USC00046663,"PALOS VERDES ES FC43D, CA US",2015,
USC00046663,"PALOS VERDES ES FC43D, CA US",2016,
USC00046663,"PALOS VERDES ES FC43D, CA US",2017,
USC00046663,"PALOS VERDES ES FC43D, CA US",2018,
USC00046663,"PALOS VERDES ES FC43D, CA US",2019,
USW00003167,"HAWTHORNE MUNICIPAL AIRPORT, CA US",2013,64.6
USW00003167,"HAWTHORNE MUNICIPAL AIRPORT, CA US",2014,67.3
USW00003167,"HAWTHORNE MUNICIPAL AIRPORT, CA US",2015,
USW00003167,"HAWTHORNE MUNICIPAL AIRPORT, CA US",2016,66.1
USW00003167,"HAWTHORNE MUNICIPAL AIRPORT, CA US",2017,66.1
USW00003167,"HAWTHORNE MUNICIPAL AIRPORT, CA US",2018,65.9
USW00003167,"HAWTHORNE MUNICIPAL AIRPORT, CA US",2019,64.8
US1CALA0031,"LANCASTER 6.5 ENE, CA US",2014,
US1CALA0031,"LANCASTER 6.5 ENE, CA US",2016,
US1CALA0031,"LANCASTER 6.5 ENE, CA US",2017,
US1CALA0031,"LANCASTER 6.5 ENE, CA US",2018,
USW00023130,"VAN NUYS AIRPORT, CA US",2013,66.8
USW00023130,"VAN NUYS AIRPORT, CA US",2014,69
USW00023130,"VAN NUYS AIRPORT, CA US",2015,68.6
USW00023130,"VAN NUYS AIRPORT, CA US",2016,68
USW00023130,"VAN NUYS AIRPORT, CA US",2017,68.4
USW00023130,"VAN NUYS AIRPORT, CA US",2018,68.2
USW00023130,"VAN NUYS AIRPORT, CA US",2019,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2013,63.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2014,66
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2015,65.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2016,64.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2017,65.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2018,65.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2019,64
USR0000CSFD,"SANTA FE DAM CALIFORNIA, CA US",2014,70.6
USR0000CSFD,"SANTA FE DAM CALIFORNIA, CA US",2015,71.6
USR0000CSFD,"SANTA FE DAM CALIFORNIA, CA US",2017,68.8
USR0000CSFD,"SANTA FE DAM CALIFORNIA, CA US",2018,68.6
USR0000CSFD,"SANTA FE DAM CALIFORNIA, CA US",2019,66.7
USW00003122,"TORRANCE AIRPORT, CA US",2013,63
USW00003122,"TORRANCE AIRPORT, CA US",2014,65.5
USW00003122,"TORRANCE AIRPORT, CA US",2015,65.7
USW00003122,"TORRANCE AIRPORT, CA US",2016,64.8
USW00003122,"TORRANCE AIRPORT, CA US",2017,65
USW00003122,"TORRANCE AIRPORT, CA US",2018,
USW00003122,"TORRANCE AIRPORT, CA US",2019,62.7
US1CALA0036,"PASADENA 2.0 SE, CA US",2013,
US1CALA0036,"PASADENA 2.0 SE, CA US",2014,
US1CALA0036,"PASADENA 2.0 SE, CA US",2015,
US1CALA0036,"PASADENA 2.0 SE, CA US",2016,
US1CALA0036,"PASADENA 2.0 SE, CA US",2018,
US1CALA0036,"PASADENA 2.0 SE, CA US",2019,
USR0000CSAU,"SAUGUS CALIFORNIA, CA US",2013,66.3
