"iso","adm1","adm2","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"USA",5,19,2001,76.23837839440872208,8206.6519650728528215
"USA",5,19,2002,2648.87966554577043983,369720.7931543425189705
"USA",5,19,2003,2292.71853139581642486,286885.025813556681074
"USA",5,19,2004,2815.66395297978810430,290956.2101966493705703
"USA",5,19,2005,256.20607553067911651,38906.24759413866261606
"USA",5,19,2006,1653.91494011270655395,155582.039269010178853
"USA",5,19,2007,2002.84806301047993697,160751.3596478509632668
"USA",5,19,2008,3590.95841941518904606,281684.325704641403216
"USA",5,19,2009,26756.47808126721624400,3891217.5097216603041005
"USA",5,19,2010,365.44554496790478873,65803.1060528186249426
"USA",5,19,2011,35.51840329611979013,5463.799906789073674
"USA",5,19,2012,282.87117385442933101,27014.762357432413677
"USA",5,19,2013,2258.77047548709427759,177454.751894458772367
"USA",5,19,2014,226.89264122790348081,18748.4374883218517658
"USA",5,19,2015,57.20876969955729596,5140.1656895188493631
"USA",5,19,2016,5059.33838049377143463,415680.9834916115288904
"USA",5,19,2017,1722.73869510622196395,139030.1019520317194870
"USA",5,19,2018,3217.78147337238633065,580041.2359147842757822
"USA",5,19,2019,1656.73874340854084113,250641.292628836351066
"USA",5,19,2020,11719.54362406831003778,1419870.9255688909507521
"USA",5,19,2021,1284.30902205767177106,192745.9048275803540301
"USA",5,19,2022,19.31138328557943395,2535.6991802241062686
"USA",5,19,2023,44.0774436541427871,10062.088325096417253
